benchmark,run,result
function_call,baseline,59809726
function_call,remove_nops,59809726
function_call,licm,59809726
dead-branch,baseline,1196
dead-branch,remove_nops,1196
dead-branch,licm,1097
mat-inv,baseline,1044
mat-inv,remove_nops,1043
mat-inv,licm,1043
cholesky,baseline,3761
cholesky,remove_nops,3756
cholesky,licm,3756
mandelbrot,baseline,2720947
mandelbrot,remove_nops,2720947
mandelbrot,licm,2710361
norm,baseline,505
norm,remove_nops,505
norm,licm,505
n_root,baseline,733
n_root,remove_nops,733
n_root,licm,733
riemann,baseline,298
riemann,remove_nops,298
riemann,licm,298
conjugate-gradient,baseline,1999
conjugate-gradient,remove_nops,1998
conjugate-gradient,licm,1998
sqrt,baseline,322
sqrt,remove_nops,322
sqrt,licm,322
newton,baseline,217
newton,remove_nops,217
newton,licm,217
leibniz,baseline,12499997
leibniz,remove_nops,12499997
leibniz,licm,12499997
pow,baseline,36
pow,remove_nops,36
pow,licm,33
cordic,baseline,517
cordic,remove_nops,517
cordic,licm,509
ray-sphere-intersection,baseline,142
ray-sphere-intersection,remove_nops,142
ray-sphere-intersection,licm,142
euler,baseline,1908
euler,remove_nops,1908
euler,licm,1890
bitwise-ops,baseline,1690
bitwise-ops,remove_nops,1690
bitwise-ops,licm,1690
palindrome,baseline,298
palindrome,remove_nops,298
palindrome,licm,298
pythagorean_triple,baseline,61518
pythagorean_triple,remove_nops,61518
pythagorean_triple,licm,54015
lcm,baseline,2326
lcm,remove_nops,2326
lcm,licm,2198
relative-primes,baseline,1923
relative-primes,remove_nops,1923
relative-primes,licm,1903
quadratic,baseline,785
quadratic,remove_nops,785
quadratic,licm,659
ackermann,baseline,1464231
ackermann,remove_nops,1464231
ackermann,licm,1464231
fact,baseline,229
fact,remove_nops,229
fact,licm,229
sum-bits,baseline,73
sum-bits,remove_nops,72
sum-bits,licm,72
mod_inv,baseline,558
mod_inv,remove_nops,558
mod_inv,licm,544
euclid,baseline,563
euclid,remove_nops,563
euclid,licm,563
recfact,baseline,104
recfact,remove_nops,104
recfact,licm,104
digital-root,baseline,247
digital-root,remove_nops,247
digital-root,licm,247
check-primes,baseline,8468
check-primes,remove_nops,8468
check-primes,licm,8103
fitsinside,baseline,10
fitsinside,remove_nops,10
fitsinside,licm,10
sum-divisors,baseline,159
sum-divisors,remove_nops,159
sum-divisors,licm,159
hanoi,baseline,99
hanoi,remove_nops,84
hanoi,licm,84
birthday,baseline,484
birthday,remove_nops,484
birthday,licm,462
armstrong,baseline,133
armstrong,remove_nops,133
armstrong,licm,133
pascals-row,baseline,146
pascals-row,remove_nops,146
pascals-row,licm,141
rectangles-area-difference,baseline,14
rectangles-area-difference,remove_nops,14
rectangles-area-difference,licm,14
loopfact,baseline,116
loopfact,remove_nops,116
loopfact,licm,108
orders,baseline,5352
orders,remove_nops,5351
orders,licm,5021
perfect,baseline,232
perfect,remove_nops,232
perfect,licm,232
collatz,baseline,169
collatz,remove_nops,168
collatz,licm,168
fizz-buzz,baseline,3652
fizz-buzz,remove_nops,3652
fizz-buzz,licm,3652
primes-between,baseline,574100
primes-between,remove_nops,574100
primes-between,licm,534888
sum-sq-diff,baseline,3038
sum-sq-diff,remove_nops,3038
sum-sq-diff,licm,2838
reverse,baseline,46
reverse,remove_nops,46
reverse,licm,44
gcd,baseline,46
gcd,remove_nops,45
gcd,licm,45
totient,baseline,253
totient,remove_nops,253
totient,licm,253
catalan,baseline,659378
catalan,remove_nops,659378
catalan,licm,659378
factors,baseline,72
factors,remove_nops,72
factors,licm,69
up-arrow,baseline,252
up-arrow,remove_nops,252
up-arrow,licm,252
is-decreasing,baseline,127
is-decreasing,remove_nops,121
is-decreasing,licm,121
bitshift,baseline,167
bitshift,remove_nops,167
bitshift,licm,167
sum-check,baseline,5018
sum-check,remove_nops,5018
sum-check,licm,5018
binary-fmt,baseline,100
binary-fmt,remove_nops,100
binary-fmt,licm,100
adj2csr,baseline,56629
adj2csr,remove_nops,56625
adj2csr,licm,56625
mat-mul,baseline,1990407
mat-mul,remove_nops,1990402
mat-mul,licm,1990402
dot-product,baseline,88
dot-product,remove_nops,88
dot-product,licm,88
csrmv,baseline,121202
csrmv,remove_nops,121194
csrmv,licm,121194
sieve,baseline,3482
sieve,remove_nops,3455
sieve,licm,3455
vsmul,baseline,86036
vsmul,remove_nops,86036
vsmul,licm,86036
eight-queens,baseline,1006454
eight-queens,remove_nops,1006454
eight-queens,licm,1006454
primitive-root,baseline,11029
primitive-root,remove_nops,11029
primitive-root,licm,11029
quickselect,baseline,279
quickselect,remove_nops,279
quickselect,licm,279
major-elm,baseline,47
major-elm,remove_nops,47
major-elm,licm,47
two-sum,baseline,98
two-sum,remove_nops,98
two-sum,licm,98
max-subarray,baseline,193
max-subarray,remove_nops,193
max-subarray,licm,193
binary-search,baseline,78
binary-search,remove_nops,78
binary-search,licm,78
quicksort-hoare,baseline,27333
quicksort-hoare,remove_nops,27783
quicksort-hoare,licm,27783
adler32,baseline,6851
adler32,remove_nops,6850
adler32,licm,6850
quicksort,baseline,264
quicksort,remove_nops,256
quicksort,licm,256
bubblesort,baseline,253
bubblesort,remove_nops,242
bubblesort,licm,242
fib,baseline,121
fib,remove_nops,120
fib,licm,120
